"","","","","",""
"SITUATIA CONFISCARILOR DE DROGURI REALIZATE IN ROMANIA, 
IN PERIOADA IANUARIE - DECEMBRIE 2022","","","","",""
"","","","","",""
"","Grame","Comprimate","Doze/Buc","Mililitri","Nr. Capturi"
"Heroina","191288.96","","","1","373"
"Cocaina","80117.56","","","","646"
"Amfetamina","13960.68","5438","","200","302"
"Metamfetamina","732.14","","","","15"
"MDMA","2372.16","45355","","","635"
"Metadona","3.26","1157","","55","122"
"Oxicodona","","20","","505.3","3"
"Morfina","0.03","3941","","1049","5"
"Opiu","119365.6","","","","2"
"LSD","","","1414","1.9","26"
"Codeina","2.55","80","","","6"
"Ciuperci halucinogene","752.64","","","","47"
"Canabinoizi sintetici","593.74","","","9","115"
"Catinone","16968.63","1","","","74"
"2C-X","1.46","70","","","10"
"Petidina","","","","420","1"
"Fentanyl","","8142","267","20","7"
"Dihidrocodeina","","410","","","1"
"Triptamine","414.42","","","","4"
"ALTELE","","21","","","4"
"Canabis","624938.2","","","","3889"
"Rezina de canabis","12587.84","","","","191"
"Ulei de canbis","","","","220.48","4"
"Solutie cu THC","","","","60045.6","17"
"Ketamina","1650.49","","","369.92","107"
"Benzodiazepine","13.33","442062","","86.4","176"
"Barbiturice","","10","","16","2"
"Zolpidem","","69","","","4"
"Amfepramona","","2703","","","14"
"ALTELE","118.9","30","","5065","10"
"Masa plante de cababis","652576.72","","","","97"
"Fragmente vegetale cu THC","176928.09","","","","259"
